Xor Count = 230
x[97] = x[74] ^ x[26]	
x[98] = x[11] ^ x[26]	
x[99] = x[7] ^ x[26]	
x[100] = x[15] ^ x[27]	
x[101] = x[8] ^ x[27]	
x[102] = x[75] ^ x[27]	
x[103] = x[20] ^ x[27]	
x[104] = x[19] ^ x[28]	
x[105] = x[10] ^ x[28]	
x[106] = x[21] ^ x[28]	
x[107] = x[19] ^ x[29]	
x[108] = x[90] ^ x[29]	
x[109] = x[5] ^ x[29]	
x[110] = x[0] ^ x[29]	
x[111] = x[33] ^ x[29]	
x[112] = x[47] ^ x[29]	
x[113] = x[13] ^ x[30]	
x[114] = x[8] ^ x[30]	
x[115] = x[21] ^ x[30]	
x[116] = x[88] ^ x[30]	
x[117] = x[30] ^ x[31]	
x[118] = x[28] ^ x[31]	
x[119] = x[14] ^ x[31]	
x[120] = x[73] ^ x[31]	
x[121] = x[81] ^ x[31]	
x[122] = x[21] ^ x[46]	
x[123] = x[10] ^ x[48]	
x[124] = x[37] ^ x[48]	
x[125] = x[17] ^ x[52]	
x[126] = x[6] ^ x[54]	
x[127] = x[53] ^ x[54]	
x[128] = x[38] ^ x[55]	
x[129] = x[56] ^ x[63]	
x[130] = x[13] ^ x[63]	
x[131] = x[15] ^ x[65]	
x[132] = x[6] ^ x[71]	
x[133] = x[55] ^ x[76]	
x[134] = x[28] ^ x[77]	
x[135] = x[50] ^ x[77]	
x[136] = x[46] ^ x[80]	
x[137] = x[45] ^ x[82]	
x[138] = x[60] ^ x[82]	
x[139] = x[61] ^ x[83]	
x[140] = x[10] ^ x[85]	
x[141] = x[16] ^ x[85]	
x[142] = x[35] ^ x[92]	
x[143] = x[20] ^ x[93]	
x[144] = x[59] ^ x[96]	
x[145] = x[54] ^ x[97]	
x[146] = x[40] ^ x[99]	
x[147] = x[43] ^ x[100]	
x[148] = x[24] ^ x[102]	
x[149] = x[26] ^ x[104]	
x[150] = x[78] ^ x[104]	
x[151] = x[57] ^ x[107]	
x[152] = x[52] ^ x[108]	
x[153] = x[100] ^ x[109]	
x[154] = x[91] ^ x[110]	
x[155] = x[101] ^ x[110]	
x[156] = x[62] ^ x[112]	
x[157] = x[72] ^ x[112]	
x[158] = x[3] ^ x[113]	
x[159] = x[105] ^ x[114]	
x[160] = x[1] ^ x[114]	
x[161] = x[61] ^ x[115]	
x[162] = x[89] ^ x[117]	
x[163] = x[95] ^ x[117]	
x[164] = x[1] ^ x[118]	
x[165] = x[59] ^ x[118]	
x[166] = x[21] ^ x[119]	
x[167] = x[119] ^ x[122]	
x[168] = x[106] ^ x[123]	
x[169] = x[9] ^ x[124]	
x[170] = x[13] ^ x[124]	
x[171] = x[111] ^ x[125]	
x[172] = x[86] ^ x[125]	
x[173] = x[94] ^ x[126]	
x[174] = x[1] ^ x[127]	
x[175] = x[5] ^ x[127]	
x[176] = x[100] ^ x[129]	
x[177] = x[103] ^ x[130]	
x[178] = x[12] ^ x[131]	
x[179] = x[113] ^ x[132]	
x[180] = x[102] ^ x[133]	
x[181] = x[71] ^ x[134]	
x[182] = x[99] ^ x[135]	
x[183] = x[110] ^ x[137]	
x[184] = x[120] ^ x[138]	
x[185] = x[116] ^ x[139]	
x[186] = x[65] ^ x[140]	
x[187] = x[99] ^ x[141]	
x[188] = x[131] ^ x[142]	
x[189] = x[122] ^ x[144]	
x[190] = x[61] ^ x[147]	
x[191] = x[128] ^ x[149]	
x[192] = x[49] ^ x[149]	
x[193] = x[87] ^ x[150]	
x[194] = x[116] ^ x[153]	
x[195] = x[123] ^ x[154]	
x[196] = x[120] ^ x[155]	
x[197] = x[87] ^ x[156]	
x[198] = x[0] ^ x[158]	
x[199] = x[82] ^ x[159]	
x[200] = x[87] ^ x[160]	
x[201] = x[126] ^ x[161]	
x[202] = x[48] ^ x[162]	
x[203] = x[103] ^ x[163]	
x[204] = x[98] ^ x[164]	
x[205] = x[57] ^ x[164]	
x[206] = x[92] ^ x[166]	
x[207] = x[158] ^ x[167]	
x[208] = x[103] ^ x[171]	
x[209] = x[87] ^ x[179]	
x[210] = x[165] ^ x[180]	
x[211] = x[126] ^ x[181]	
x[212] = x[80] ^ x[183]	
x[213] = x[148] ^ x[184]	
x[214] = x[152] ^ x[184]	y[31] 
x[215] = x[182] ^ x[185]	y[24] 
x[216] = x[103] ^ x[186]	
x[217] = x[123] ^ x[187]	
x[218] = x[136] ^ x[188]	
x[219] = x[99] ^ x[190]	
x[220] = x[29] ^ x[193]	
x[221] = x[25] ^ x[193]	
x[222] = x[143] ^ x[194]	
x[223] = x[189] ^ x[194]	y[19] 
x[224] = x[180] ^ x[195]	y[27] 
x[225] = x[182] ^ x[196]	y[20] 
x[226] = x[176] ^ x[197]	y[4] 
x[227] = x[145] ^ x[199]	y[28] 
x[228] = x[80] ^ x[202]	
x[229] = x[17] ^ x[203]	
x[230] = x[21] ^ x[203]	
x[231] = x[93] ^ x[204]	
x[232] = x[80] ^ x[205]	
x[233] = x[146] ^ x[207]	
x[234] = x[199] ^ x[208]	y[8] 
x[235] = x[188] ^ x[209]	y[15] 
x[236] = x[200] ^ x[210]	y[30] 
x[237] = x[175] ^ x[210]	y[13] 
x[238] = x[206] ^ x[211]	y[0] 
x[239] = x[178] ^ x[212]	
x[240] = x[191] ^ x[212]	y[11] 
x[241] = x[192] ^ x[213]	y[26] 
x[242] = x[174] ^ x[213]	y[9] 
x[243] = x[207] ^ x[216]	y[3] 
x[244] = x[206] ^ x[217]	y[12] 
x[245] = x[168] ^ x[218]	y[10] 
x[246] = x[198] ^ x[219]	
x[247] = x[121] ^ x[222]	y[22] 
x[248] = x[170] ^ x[222]	y[5] 
x[249] = x[176] ^ x[228]	y[16] 
x[250] = x[218] ^ x[229]	y[25] 
x[251] = x[151] ^ x[231]	
x[252] = x[201] ^ x[231]	y[23] 
x[253] = x[219] ^ x[232]	y[7] 
x[254] = x[220] ^ x[233]	y[21] 
x[255] = x[173] ^ x[233]	y[6] 
x[256] = x[230] ^ x[239]	y[29] 
x[257] = x[172] ^ x[239]	y[14] 
x[258] = x[221] ^ x[246]	y[17] 
x[259] = x[157] ^ x[246]	y[2] 
x[260] = x[177] ^ x[251]	y[18] 
x[261] = x[169] ^ x[251]	y[1] 
